,tweet,label
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75, 2, 384, 7, 1081, 1044, 58, 3372, 30, 29, 300, 57, 75, 2, 88, 7, 207, 162, 155, 5, 52, 55]",2
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 223, 1237, 577, 1481, 7113, 81, 23, 2321, 156, 25, 13, 5, 552, 540]",1
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 769, 1, 7, 170, 37, 2, 3, 9, 48, 283, 8, 598, 7, 20, 1082, 75, 45]",1
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 48, 94, 15, 2, 703]",1
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 45, 7, 553, 58, 16, 329, 20, 523, 73, 24, 329, 20, 5581, 134, 5, 3, 74, 276, 24, 8, 97]",1
5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 274, 3877, 623, 5, 45, 34, 3044, 16, 940, 7, 38, 1317, 9, 136, 23, 530, 33, 96, 77, 26, 19]",1
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10453, 4, 65, 47, 34, 531, 30, 9, 100, 18, 245, 3, 4, 44, 90, 201, 45, 169, 18]",1
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10454, 152, 27, 563, 17, 7, 189, 12, 516, 23, 236, 728, 166]",1
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 7, 329, 47, 36, 97, 3, 102, 57, 288, 11]",1
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3878, 3879, 1318, 7114, 3]",1
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10455, 14, 2, 3, 48, 10456, 413, 54, 4, 1274, 190, 2, 1875, 15, 21, 218]",1
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2151, 1275, 3, 161, 1275, 1876]",1
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 19, 11, 517, 51, 3880, 435, 76, 18, 798]",1
13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 12, 14, 5, 103, 253, 11, 4, 15]",1
14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36, 30, 91, 16]",1
15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46, 471, 16, 26, 24]",1
16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2001, 737]",1
17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 74, 63, 7, 71]",1
